PS_BU,REG_STORE_NUM,REGION,STORE_NAME,STORE_ABBR,POSTYPE,ADDR1,ADDR2,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,PHONE,FAX,SERVERNAME,LASTUSER,TIMESTAMP
10108,117,SP,Pasadena,PAS,RTX::PST,3751 E. Foothill Blvd,NULL,Pasadena,CA,91107,USA,626.351.5994,626.351.1664,SPPAS,MDM,11/1/2012 20:19
10141,344,RM,Metcalf,MET,IBM::CST,7401 West 91st St,NULL,Overland Park,KS,66212,USA,913.652.9633,913.652.9646,RMMET,MDM,11/1/2012 20:19
10148,404,PN,Portland,PRT,IBM::PST,1210 NW Couch St,NULL,Portland,OR,97209,USA,503.525.4343,503.525.2021,PNPRT,MDM,11/1/2012 20:19
10111,215,NA,University,UNI,IBM::EST,601 N Main St,NULL,Providence,RI,2904,USA,401.621.5990,401.621.5991,NAUNI,MDM,4/25/2013 16:19
10152,406,NC,Sacramento,ARD,IBM::PST,4315 Arden Way,NULL,Sacramento,CA,95864,USA,916.488.2800,916.488.2801,NCARD,MDM,11/1/2012 20:19
10140,346,SW,Highland Park,HPK,ACS::CST,4100 Lomo Alto Dr,NULL,Highland Park,TX,75219,USA,214.520.7993,214.528.5237,SWHPK,MDM,11/1/2012 20:19
10144,347,RM,Academy,ACD,IBM::MST,5815 Wyoming Blvd NE,NULL,Albuquerque,NM,87109,USA,505.856.0474,505.858.3048,RMACD,MDM,11/1/2012 20:19
10181,53,MA,Pittsburgh,PTB,IBM::EST,5880 Centre Ave,NULL,Pittsburgh,PA,15206,USA,412.441.7960,412.441.2907,MAPTB,MDM,5/16/2013 13:31
10150,405,NC,San Mateo,SMT,IBM::PST,1010 Park Place,NULL,San Mateo,CA,94403,USA,650.358.6900,650.358.6901,NCSMT,MDM,11/1/2012 20:19
10177,126,SP,Fairfax,FFX,RTX::PST,6350 West 3rd St,NULL,Los Angeles,CA,90036,USA,323.964.6800,512.499.7105,SPFFX,MDM,11/1/2012 20:19
10176,127,SP,Westwood,WWD,RTX::PST,1050 Gayley Ave,NULL,Los Angeles,CA,90024,USA,310.824.0858,310.824.6390,SPWWD,MDM,11/1/2012 20:19
10172,122,SP,Paradise Valley,PVA,RTX::PST,10810 N Tatum Blvd,NULL,Phoenix,AZ,85028,USA,602.569.7600,602.867.1598,SPPVA,MDM,11/1/2012 20:19
10143,350,SW,Arabella Station,ABS,ACS::CST,5600 Magazine St,NULL,New Orleans,LA,70115,USA,504.899.9119,504.899.9210,SWABS,MDM,11/1/2012 20:19
10164,500,MW,Willowbrook Closed,WBK,CLOSED,201 West 63rd St,NULL,Willowbrook,IL,60527,USA,630.655.5000,630.655.5005,MWWBK,MDM,9/8/2015 12:11
10157,224,NE,Rose City,RCM,IBM::EST,222 Main St,NULL,Madison,NJ,7940,USA,973.822.8444,973.822.0192,NERCM,MDM,4/25/2013 16:20
10153,450,PN,Bellevue,BLV,IBM::PST,888 116th Ave NE,NULL,Bellevue,WA,98004,USA,425.462.1400,425.451.8423,PNBLV,MDM,11/1/2012 20:19
10189,809,FL,Sarasota,SAR,IBM::EST,1451 1st Street,NULL,Sarasota,FL,34236,USA,941.955.8500,941.955.8530,FLSAR,MDM,11/1/2012 20:19
10186,54,MA,Louisville,LOU,IBM::EST,4944 Shelbyville Rd,NULL,Louisville,KY,40207,USA,502.899.5545,502.899.9695,MALOU,MDM,11/1/2012 20:19
10196,10196,SO,Ponce de Leon,PNC,IBM::EST,650 Ponce de Leon Ave NE,NULL,Atlanta,GA,30308,USA,404.853.1681,404.853.1632,SOPNC,MDM,11/1/2012 20:19
10188,810,FL,Palm Beach Gardens,PGA,IBM::EST,11701 Lake Victoria Gardens Av,NULL,Palm Beach Gardens,FL,33410-2706,USA,561.691.8550,561.691.8540,FLPGA,MDM,11/1/2012 20:19
10145,300,SW,Lamar,LMR,ACS::CST,525 N Lamar Blvd,NULL,Austin,TX,78703,USA,512.476.1206,512.476.5704,SWLMR,MDM,11/1/2012 20:19
10146,348,RM,Pikes Peak,PPK,IBM::MST,7635 North Academy Blvd,NULL,Colorado Springs,CO,80920-3207,USA,719.531.9999,719.536.0101,RMPPK,MDM,11/1/2012 20:19
10151,449,NC,SoMa,SOM,IBM::PST,399 4th Street,NULL,San Francisco,CA,94107,USA,415.618.0066,415.618.0050,NCSOM,MDM,11/1/2012 20:19
10158,233,NA,Charles River Plaza,CRP,IBM::EST,181 Cambridge St,NULL,Boston,MA,2114,USA,617.723.0004,617.723.0404,NACRP,MDM,4/25/2013 16:21
10159,229,NA,Hingham,HGM,IBM::EST,94 Derby St,NULL,Hingham,MA,2043,USA,781.741.8050,512.499.3813,NAHGM,MDM,4/25/2013 16:22
10160,226,NE,Columbus Circle,CIR,IBM::EST,10 Columbus Circle,NULL,New York,NY,10019,USA,212.823.9600,212.823.9610,NECIR,MDM,5/16/2013 13:20
10161,232,NE,Jericho,JER,IBM::EST,429 North Broadway,NULL,Jericho,NY,11753-2106,USA,516.932.1733,516.932.1730,NEJER,MDM,11/1/2012 20:19
10162,227,NE,Union Square,USQ,IBM::EST,40 E. 13th Street,NULL,New York,NY,10003,USA,212.673.5388,212.673.5393,NEUSQ,MDM,3/16/2015 14:24
10167,547,MW,Ann Arbor,ARB,IBM::EST,3135 Washtenaw Ave,NULL,Ann Arbor,MI,48104,USA,734.975.4500,734.975.4545,MWARB,MDM,11/1/2012 20:19
10173,123,SP,Santa Monica,SMC,RTX::PST,2201 Wilshire Blvd,NULL,Santa Monica,CA,90403,USA,310.315.0662,512.499.7111,SPSMC,MDM,11/1/2012 20:19
10551,301,SW,Bowman,BMN,ACS::CST,501 Bowman Road,NULL,Little Rock,AR,72211,USA,501-312-2326,NULL,SWBMN,MDM,2/18/2015 8:42
10174,125,SP,Fort Apache,FTA,RTX::PST,8855 West Charleston Blvd,NULL,Las Vegas,NV,89117,USA,702.254.8655,702.254.9080,SPFTA,MDM,11/1/2012 20:19
10185,57,MA,Old Town,OTN,IBM::EST,1700 Duke St,NULL,Alexandria,VA,22314,USA,703.706.0891,703.838.2908,MAOTN,MDM,11/1/2012 20:19
10179,129,SP,Glendale,GLN,RTX::PST,331 North Glendale Ave,NULL,Glendale,CA,91206,USA,818.548.3695,818.548.5248,SPGLN,MDM,11/1/2012 20:19
10178,128,SP,Valencia,VAL,RTX::PST,24130 Valencia Blvd,NULL,Santa Clarita,CA,91355,USA,661.260.2377,661.291.1489,SPVAL,MDM,11/1/2012 20:19
10147,349,RM,Fort Collins,FTC,IBM::MST,2201 S College Ave,NULL,Fort Collins,CO,80525,USA,970.267.9200,970.267.9201,RMFTC,MDM,8/1/2013 11:12
10187,55,MA,Princeton,PRN,IBM::EST,3495 US Route 1 South,NULL,Princeton,NJ,8540,USA,609.799.2919,609.799.2918,MAPRN,MDM,4/25/2013 16:22
10163,228,NE,White Plains,WHP,IBM::EST,110 Bloomingdale Rd,NULL,White Plains,NY,10605,USA,914.288.1300,914.288.3120,NEWHP,MDM,11/1/2012 20:19
10206,10206,SO,West Paces Ferry,WPF,IBM::EST,77 West Paces Ferry Rd NW,NULL,Atlanta,GA,30305-1301,USA,404.324.4100,404.943.9153,SOWPF,MDM,11/1/2012 20:19
40008,NULL,MA,Maryland Kitchen,MDK,NULL,"1521 Cabin Branch Dr, Bldg B-2",NULL,Landover,MD,20785,USA,301.683.0060,301.683.0065,MAMDK,knizej,7/8/2013 20:11
10154,452,NC,Redwood City,RED,IBM::PST,1250 Jefferson Ave,NULL,Redwood City,CA,94062,USA,650.367.1400,650.367.1414,NCRED,MDM,11/1/2012 20:19
10213,230,NE,Middletown,MID,IBM::EST,471 State Route 35 N.,NULL,Red Bank,NJ,07701-5036,USA,732.758.1688,732.758.1680,NEMID,MDM,11/1/2012 20:19
10217,234,NA,West Hartford,WHF,IBM::EST,50 Raymond Rd,NULL,West Hartford,CT,6107,USA,860.523.8500,512.499.3825,NAWHF,MDM,4/25/2013 16:23
10207,351,RM,Tamarac,TMC,IBM::MST,"7400 E. Hampden Ave, Unit D",NULL,Denver,CO,80231,USA,303.488.2000,303.488.2008,RMTMC,MDM,8/7/2014 15:55
10201,10201,SO,Charleston,CHL,IBM::EST,923 Houston Northcutt Blvd,NULL,Mount Pleasant,SC,29464,USA,843.971.7240,843.971.7440,SOCHL,MDM,11/1/2012 20:19
10212,451,PN,West Vancouver,PRV,BEAN::PST,Village at Park Royal,925 Main St,West Vancouver,BC,V7T 2Z3,CAN,604.678.0500,604.678.0501,PNPRV,MDM,4/17/2013 9:23
10198,304,SW,Baton Rouge,BTR,ACS::CST,7529 Corporate Blvd,NULL,Baton Rouge,LA,70809,USA,225.218.0452,225.218.9097,SWBTR,MDM,11/1/2012 20:19
10169,550,MW,Regency,RGY,IBM::CST,10020 Regency Circle,NULL,Omaha,NE,68114,USA,402.393.1200,402.393.1221,MWRGY,MDM,11/1/2012 20:19
10222,231,NA,Swampscott,SWA,IBM::EST,331 Paradise Rd,NULL,Swampscott,MA,1907,USA,781.592.2200,512.499.3820,NASWA,MDM,4/25/2013 16:24
10204,131,SP,Thousand Oaks,OKS,RTX::PST,740 North Moorpark Rd,NULL,Thousand Oaks,CA,91360-3705,USA,805.777.4730,805.777.4740,SPOKS,MDM,11/1/2012 20:19
11102,2,EU,Camden,CMD,BEAN::GMT,49 Parkway,NULL,London,UK,NW1 7PN,UK,(020)74287575,(020)74287676,UKCMD,MDM,5/16/2013 13:22
11104,3,EU,City (Closed),CIT,CLOSED,194 Old Street,NULL,London,UK,EC1V 9FR,UK,(020)72501708,(020)74903170,IRIS,kaluzaj,8/14/2006 16:00
11103,4,EU,NottingHill(Closed),NOT,CLOSED,210 Westbourne Grove,NULL,London,UK,W11 2RH,UK,(020)72291063,(020)72430988,IRIS,kaluzaj,6/6/2007 9:41
11106,5,EU,Clapham Junction,CLJ,BEAN::GMT,305-311 Lavender Hill,NULL,London,UK,SW11 1LN,UK,(020)75851488,(020)75851489,UKCLJ,MDM,5/16/2013 13:25
11105,6,EU,Soho (Closed),SOH,Closed,69-75 Brewer Street,NULL,London,UK,W1F 9US,UK,(020)74343179,(020)74343195,UKSOH,menezesma,5/23/2012 16:20
11107,7,EU,Stoke Newington,STK,BEAN::GMT,32-40 StokeNewington Church St,NULL,London,UK,N16 0LU,UK,(020)72542332,(020)72549669,UKSTK,MDM,5/16/2013 13:23
11108,8,EU,Bristol (Closed),BRL,closed,85 Queens Road,NULL,Bristol,UK,BS8 1QS,UK,(0117)9105930,(0117)9866911,UKBRL,blantona,9/12/2008 15:31
10202,303,SW,Veterans,VET,ACS::CST,3420 Veterans Blvd,NULL,Metairie,LA,70002,USA,504.888.8225,504.888.8226,SWVET,MDM,11/1/2012 20:19
10226,548,MW,Oakville,OAK,BEAN::EST,301 Cornwall Rd, ,Oakville,ON,L6J-7Z5,CAN,905.849.8400,905.815.0794,MWOAK,MDM,11/1/2012 20:19
10214,56,MA,Columbus,DUB,IBM::EST,3670 W.Dublin-Granville Rd,NULL,Columbus,OH,43235,USA,614.760.5556,NULL,MADUB,MDM,11/1/2012 20:19
10261,3127,RM,CO Merchant of Vino (Closed),CMV,Closed,7400 E. Hampden Ave,"Unit D1, Suite A",Denver,CO,80231,USA,303.488.2000,303.488.2008,RMCMV,Karen.Sm,5/23/2011 17:08
10218,353,RM,Belmar,BMR,CCP::MST,444 S.Wadsworth Blvd,NULL,Lakewood,CO,80226,USA,303.935.5000,303.953.5206,RMBMR,MDM,9/9/2015 15:51
10233,235,NA,Woburn,WOB,IBM::EST,400 Cambridge Rd,NULL,Woburn,MA,1801,USA,781.376.9600,781.376.9630,NAWOB,MDM,4/25/2013 16:25
10224,10224,SO,Woodruff,WDF,IBM::EST,1140 Woodruff Road,NULL,Greenville,SC,29607,USA,864.335.2300,864.335.2310,SOWDF,MDM,11/1/2012 20:19
10219,133,SP,Henderson,HEN,RTX::PST,100 S. Green Valley Pkwy,NULL,Henderson,NV,89012,USA,702.361.8183,702.614.1927,SPHEN,MDM,11/1/2012 20:19
10313,7034,NA,Whole Grocer(Closed),WGR,CLOSED,127 Marginal Way,NULL,Portland,ME,4101,USA,207.774.7711,207.828.0201,none,kaluzaj,2/14/2007 15:23
10260,453,PN,Redmond,RMD,IBM::PST,17991 Redmond Way,NULL,Redmond,WA,98052,USA,425.881.2600,425.881.2660,PNRMD,MDM,11/1/2012 20:19
10155,454,NC,Los Altos,LAT,IBM::PST,4800 El Camino Real,NULL,Los Altos,CA,94022,USA,650.559.0300,650.559.0301,NCLAT,MDM,11/1/2012 20:19
10197,551,MW,Milwaukee,MLW,IBM::CST,2305 N. Prospect Ave,NULL,Milwaukee,WI,53211,USA,414.223.1500,414.223.3150,MWMLW,MDM,11/1/2012 20:19
10215,10215,SO,Duluth,DUL,IBM::EST,5945 State Bridge Rd,NULL,Duluth,GA,30097,USA,678.514.2400,678.514.2410,SODUL,MDM,11/1/2012 20:19
10216,455,PN,Westlake,WSL,IBM::PST,2210 Westlake Ave,NULL,Seattle,WA,98121,USA,206.621.9700 ,206.612.9705,PNWSL,MDM,11/1/2012 20:19
10266,456,PN,Bridgeport,BRD,IBM::PST,7380 SW Bridgeport Rd,NULL,Tigard,OR,97224,USA,503.639.6500,503.639.6100,PNBRD,MDM,11/1/2012 20:19
10223,58,MA,Fair Lakes,FRL,IBM::EST,4501 Market Commons Dr,NULL,Fairfax,VA,22033,USA,703.222.2058,703.222.5090,MAFRL,MDM,11/1/2012 20:19
10265,271,NE,West Orange,WOP,IBM::EST,235 Prospect St,NULL,West Orange,NJ,7052,USA,973.669.3196,973.669.3768,NEWOP,MDM,4/25/2013 16:26
10227,312,SW,Forest,FST,ACS::CST,11700 Preston Rd Ste 714,NULL,Dallas,TX,75230,USA,214.361.8887,214.361.9196,SWFST,MDM,11/1/2012 20:19
10171,4029,MW,South Loop,SLP,IBM::CST,1101 S. Canal St,Suite 107,Chicago,IL,60607,USA,312.435.4600,312.435.4640,MWSLP,simonitj,8/8/2007 12:02
10170,552,MW,Sauganash,CIC,IBM::CST,6020 N Cicero Ave,NULL,Chicago,IL,60646,USA,773.205.1100,773.205.1746,MWCIC,MDM,11/1/2012 20:19
10199,59,MA,Cedar Center,CTR,IBM::EST,13998 Cedar Rd,NULL,University Heights,OH,44118,USA,216.932.3918,NULL,MACTR,MDM,11/1/2012 20:19
10190,811,FL,Coral Gables,CGB,IBM::EST,6701 Red Road,NULL,Coral Gables,FL,33143,USA,305.421.9421,NULL,FLCGB,MDM,11/1/2012 20:19
10236,272,NE,Bowery,HOU,IBM::EST,95 East Houston St,NULL,New York,NY,10002,USA,212.420.1320,212.420.1360,NEHOU,MDM,5/16/2013 13:21
10225,134,SP,Pacific Coast Hwy,PCH,RTX::PST,760 South Sepulveda Blvd.,NULL,El Segundo,CA,90245,USA,310.333.1900,512.499.7112,SPPCH,MDM,11/1/2012 20:19
10209,10209,SO,Mountain Brook,MBK,IBM::CST,3100 Cahaba Village Plaza,NULL,Birmingham,AL,35243,USA,205.912.8400,205.912.8410,SOMBK,MDM,11/1/2012 20:19
10238,457,NC,Potrero Hill,PTH,CCP::PST,450 Rhode Island St,NULL,San Francisco,CA,94107,USA,415.552.1155,415.552.1144,NCPTH,MDM,6/1/2015 13:20
10291,236,NA,Portland ME,PTL,IBM::EST,2 Somerset St,NULL,Portland,ME,4101,USA,207.774.7711,512.499.3818,NAPTL,MDM,4/25/2013 16:27
10511,246,NA,Somerville,SMV,IBM::EST,45 Beacon Street,NULL,Somerville,MA,2143,USA,617-902-9300,617-902-9301,NASMV,MDM,9/4/2013 10:40
10526,78,MA,Cherry Hill,CNJ,IBM::EST,1558 Kings Highway North,NULL,Cherry Hill,NJ,8034,USA,856-651-5271,NULL,MACNJ,MDM,6/18/2014 12:44
10453,10453,SO,Wilmington,WOL,IBM::EST,3804 Oleander Drive,NULL,Wilmington,NC,28401,USA,(910) 777-2499,NULL,SOWOL,MDM,11/1/2012 20:19
11113,13,EU,Fulham Broadway,FLM,BEAN::GMT,4-6 Fulham Broadway,NULL,London,UK,SW6 1AA,UK,999-999-9999,NULL,UKFLM,MDM,4/8/2014 7:37
10259,428,NC,The Alameda,ALM,CCP::PST,777 The Alameda,NULL,San Jose,CA,95126,USA,408-207-1126,408-207-1127,NCALM,MDM,6/1/2015 13:20
10538,394,RM,Olathe,OLA,IBM::MST,14615 W. 119th Street,NULL,Olathe,KS,66062,USA,913-764-5656,NULL,RMOLA,MDM,4/22/2015 8:41
10461,10461,SO,Knoxville,KNX,IBM::EST,6700 Papermill Drive Suite A,NULL,Knoxville,TN,37919,USA,865-291-6400,NULL,SOKNX,MDM,3/25/2015 10:46
10284,387,RM,Boise,BOI,IBM::MST,401 S Broadway,NULL,Boise,ID,83702,USA,(208) 287-4600,(208) 287-4685,RMBOI,MDM,11/14/2012 11:43
10465,576,MW,Midtown Detroit,MDT,IBM::CST,115 Mack Avenue,NULL,Detroit,MI,48201,USA,313-576-5300,NULL,MWMDT,MDM,6/5/2013 8:28
10562,10562,SO,Germantown,GMT,IBM::EST,7825 U.S. Highway 72,NULL,Germantown,TN,38138,USA,901-896-3245,NULL,SOGMT,MDM,8/19/2015 8:04
10570,588,MW,Green Bay Road,GBR,IBM::CST,2748 Green Bay Rd,NULL,Evanston,IL,60201,USA,847-424-5700,NULL,MWGBR,MDM,7/29/2015 12:10
10203,555,MW,Halsted,HAL,IBM::CST,3640 N Halsted St,NULL,Chicago,IL,60613,USA,773.472.0400,773.472.8340,MWHAL,MDM,11/1/2012 20:19
11110,9,EU,Kensington,HSK,BEAN::GMT,The Barkers Building,63-79 Kensington High Street,London,UK,W8 5SE,UK,020.7368.4500,NULL,UKHSK,MDM,12/5/2012 10:27
10270,311,SW,Lamar Culinary Cen,LCC,ACS::CST,6201 Bolm Rd,NULL,Austin,TX,78721,USA,512-542-2209,512.476.5704,SWLCC,MDM,8/19/2015 15:22
10243,476,PN,Hollywood,HWD,IBM::PST,4301 NE Sandy Blvd,NULL,Portland,OR,97213,USA,503.284.2644,512.499.7002,PNHWD,MDM,11/1/2012 20:19
10267,459,NC,Stevens Creek,STC,IBM::PST,20955 Stevens Creek Blvd,NULL,Cupertino,CA,95014,USA,408.257.7000,408.257.1475,NCSTC,MDM,11/1/2012 20:19
10221,460,NC,Harrison,HAR,IBM::PST,230 Bay Place,NULL,Oakland,CA,94612,USA,510.834.9800,510.834.9900 ,NCHAR,MDM,11/1/2012 20:19
10281,458,NC,Sonoma,SNM,CCP::PST,201 W.Napa St,NULL,Sonoma,CA,95476,USA,707.938.8500,707.938.8557,NCSNM,MDM,5/18/2015 13:19
10288,461,NC,Napa,NPA,CCP::PST,3682 Bel Aire Plaza,NULL,Napa,CA,94558,USA,707-224-6300,707-224-6311,NCNPA,MDM,5/27/2015 12:21
10231,130,SP,Jamboree,JAM,RTX::PST,2847 Park Avenue,NULL,Tustin,CA,92782,USA,714.566.7650,714.566.7840,SPJAM,MDM,11/1/2012 20:19
10244,554,MW,Northbrook,NBK,IBM::CST,840 Willow Road,Suite M,Northbrook,IL,60062,USA,847.205.5353,847.205.9435,MWNBK,MDM,11/1/2012 20:19
10254,237,NA,Cranston,CRN,IBM::EST,Garden City Center,151 Sockanosset Cross Road,Cranston,RI,2920,USA,401.942.7600,401.942.7660,NACRN,MDM,4/25/2013 16:25
20001,NULL,SW,Whole Foods Market SW DC,THD,NULL,840 Interchange,NULL,Austin,TX,78721,USA,512.385.3853,512.385.2399,NULL,shaha,9/12/2007 17:29
20003,NULL,MA,North Carolina Warehouse,NCW,NULL,2800 Perimeter Park Dr,Suite C,Morrisville,NC,27560,USA,919.467.1602,919.467.2278,NULL,shaha,9/12/2007 17:29
20005,NULL,SP,Southern Pacific Dist Ctr,SPD,NULL,2307 E 49th St,NULL,Vernon,CA,90058,USA,323.277.5800,323.277.581,NULL,shaha,9/12/2007 17:29
20007,NULL,NA,Pigeon Cove,PGC,NULL,11 Parker St,NULL,Gloucester,MA,1930,USA,978.283.5592,999.999.9999,NAPGC,MDM,1/16/2014 7:35
20013,NULL,FL,Florida Warehouse,FLW,NULL,Future,NULL,NULL,NULL,NULL,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
20014,NULL,NC,Northern Pacific Distribution,CDC,NULL,2101 Jerrold Ave,Suite 110,San Francisco,CA,94124,USA,415.206 9380,NULL,NULL,shaha,9/12/2007 17:29
20015,NULL,SP,SP Nebraska Beef,SPBEEF,NULL,600 East 39th Street,NULL,Hastings,NE,68901,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
20016,NULL,SO,South Distribution Center,ATW,NULL,2025 Satellite Blvd,NULL,Duluth,GA,30096,USA,770.667.8630,NULL,NULL,shaha,9/12/2007 17:29
20017,NULL,MA,Maryland Warehouse,MDW,NULL,1555 Cabin Branch Road,NULL,Landover,MD,20785,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
20018,NULL,SO,South Seafood Distribution,ATS,NULL,1180 Upper Hembree Road,NULL,Roswell,GA,30076,USA,0,0,SOATS,MDM,1/16/2014 7:22
20021,NULL,MW,"Whole Foods Market, Midwest DC",MWD,NULL,480 W 45th Street,NULL,Munster,IN,46321,USA,219.924.4000,219.924.4111,NULL,shaha,9/12/2007 17:29
20022,NULL,RM,Denver Distribution Center,DDC,NULL,17900 E 32nd Ave,NULL,Aurora,CO,80011,USA,720.859.1800,NULL,NULL,shaha,9/12/2007 17:29
20023,NULL,SP,SP Kiwi Distribution Center,KIW,NULL,15315 Magnolia Blvd,Suite 320,Sherman Oaks,CA,91403,USA,818.501.8484,818.990.7089,NULL,shaha,9/12/2007 17:29
20024,NULL,MA,Mid Atlantic Seafood Dist Ctr,MA Bulk DC,NULL,TBD,NULL,Landover,MD,20785,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
20025,NULL,PN,PN Distribution Center,PND,NULL,4250 East Marginal Way,NULL,Seattle,WA,98134,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
20026,NULL,NA,Wholefoods Market Distribution,NDC,NULL,400 East Johnson Avenue,NULL,Cheshire,CT,6410,USA,203.272.8150,203.272.4714,NULL,shaha,9/12/2007 17:29
20027,NULL,SO,South Bulk Distribution Center,SBD,NULL,70 Powers Ferry Rd SE,NULL,Marietta,GA,30067,USA,770.509.8710,770.578.8198,NULL,Karen.Sm,11/4/2010 11:02
20028,NULL,SO,Braselton Distribution Center,BRS,NULL,211 BDC Parkway,NULL,Braselton,GA,30517,USA,NULL,NULL,NULL,shaha,9/12/2007 17:29
21100,NULL,EU,UK Distribution Center,UK DC,NULL,30 Brewery Street,NULL,London,UK,N7 9NH,UK,NULL,NULL,NULL,knizej,5/28/2013 8:55
30002,NULL,NC,Northern California Bakehouse,CBK,NULL,1970 Innes Ave,NULL,San Francisco,CA,94124,USA,415.206.9180,415.206.9727,NULL,shaha,9/12/2007 17:29
30003,NULL,SO,North Carolina Bakehouse,NCB,NULL,409-C Airport Blvd,Suite 100,Morrisville,NC,27560,USA,919.467.1672,919.467.0062,NULL,Karen.Sm,4/11/2011 12:45
